Date,Open,High,Low,Close,Volume,EMA20,EMA50,RSI14,ATR14,Prev20High,AvgVolume20,TrendPass,BreakoutPass,RSIPass,VolumePass,ConfirmationScore,BreakoutStrength
2020-01-01,229.75157165527344,229.75157165527344,228.3072052001953,229.27012634277344,4370931,229.27012634277344,229.27012634277344,,1.444366455078125,,,False,False,False,False,0,
2020-01-02,229.3664093017578,232.01443481445312,229.27012634277344,230.9552154541016,8726602,229.4306110200428,229.33620826870788,,1.537219456263951,,,True,False,False,False,0,
2020-01-03,232.0625762939453,232.0625762939453,229.173828125,229.65528869628903,9642051,229.452008893971,229.34872122665223,94.39833670209885,1.6337572214554767,,,True,False,True,False,1,
2020-01-06,228.6923675537109,229.46270751953125,226.2850799560547,226.38137817382807,7930726,229.159567873005,229.23235483242385,81.94782905287575,1.7577894727968246,,,False,False,True,False,1,
2020-01-07,227.296142578125,229.07752990722656,225.89991760253903,226.62210083007807,8740894,228.9179043451072,229.1299919303711,82.13441324485618,1.8592053893604463,,,False,False,True,False,1,
2020-01-08,225.3221740722656,227.055419921875,224.5999755859375,225.51475524902344,7314466,228.59379490738493,228.98821794286727,78.13372393544698,1.9017938855445216,,,False,False,True,False,1,
2020-01-09,226.86282348632807,227.82574462890625,226.33322143554688,227.055419921875,9816703,228.44728300400303,228.91242194204406,79.62103376233819,1.9310221351401138,,,False,False,True,False,1,
2020-01-10,228.7886657714844,229.89601135253903,228.0183258056641,229.173828125,10357864,228.5164777774313,228.9226731649051,81.48577418576615,1.9959913705346795,,,False,False,True,False,1,
2020-01-13,229.65528869628903,231.58111572265625,229.41455078125,230.37747192382807,12715178,228.69371531518337,228.97972409662756,82.46742056164622,2.0253696724719346,,,False,False,True,False,1,
2020-01-14,231.34039306640625,234.7587432861328,229.46270751953125,234.2291259765625,12299570,229.22089728293375,229.1855829938799,85.17603856680459,2.2589886791954794,,,True,False,True,False,1,
2020-01-15,233.5550994873047,233.9884033203125,232.1588592529297,233.41065979003903,5687654,229.61992228361044,229.3512722800038,82.26754158338684,2.245508539512432,,,True,False,True,False,1,
2020-01-16,233.50694274902344,234.8550262451172,231.19595336914065,231.82183837890625,9730522,229.82962857840053,229.4481572250588,76.78612326454886,2.3464774206884393,,,True,False,True,False,1,
2020-01-17,231.82183837890625,233.1217803955078,230.52191162109372,231.051513671875,7677106,229.94599858730288,229.51103394846334,74.2045848371139,2.3645768030974144,,,True,False,True,False,1,
2020-01-20,231.14779663085935,234.2291259765625,231.14779663085935,232.92919921875,8329721,230.230112933155,229.64507964533735,76.29649106555705,2.422650767496706,,,True,False,True,False,1,
2020-01-21,232.49588012695312,232.49588012695312,229.173828125,229.60714721679688,9939680,230.1707828649304,229.64359209912007,66.08537329992805,2.517845076514799,,,True,False,True,False,1,
2020-01-22,230.7144927978516,230.7144927978516,228.3072052001953,229.2219696044922,7949731,230.0804196972696,229.62705788364445,64.99915842124014,2.50994811373919,,,True,False,True,False,1,
2020-01-23,229.27012634277344,229.89601135253903,228.1146240234375,229.07752990722656,6356150,229.98490638393216,229.6055077669222,64.57055548833031,2.4579080576936434,,,True,False,True,False,1,
2020-01-24,228.59608459472656,230.2330322265625,228.21090698242188,229.3182678222656,7063834,229.92141699710677,229.59424345536704,64.98497901735558,2.426780713868428,,,True,False,True,False,1,
2020-01-27,228.21090698242188,228.59608459472656,225.6110382080078,225.89991760253903,7100949,229.538417054767,229.44936793172673,55.12481863911709,2.518241349610525,,,True,False,True,False,1,
2020-01-28,226.0443572998047,227.15170288085935,221.95196533203125,222.19268798828125,15144538,228.83882381033976,229.16479224767005,46.826659051372104,2.7097767924117804,,,False,False,False,False,0,
2020-01-29,222.91488647460935,228.83680725097656,222.57786560058597,227.87388610839844,21258057,228.74692498158345,229.11416847750255,57.4079427589736,2.99080125457489,234.8550262451172,8844743.5,False,False,True,True,2,-0.029725317138550644
2020-01-30,228.1627655029297,228.21090698242188,224.3592529296875,225.3703155517578,10794458,228.42534313112387,228.96735071570865,52.454243649270694,3.0522907401577104,234.8550262451172,9689099.8,False,False,True,True,2,-0.04038538516718915
2020-01-31,227.00726318359372,229.5589904785156,225.3703155517578,226.4295196533203,19166671,228.2352647046664,228.86782792894834,54.252810400539225,3.133461039200573,234.8550262451172,9792492.6,False,False,True,True,2,-0.0358753513880653
2020-02-03,207.0267791748047,208.8563232421875,197.3976287841797,199.9011993408203,82836335,225.53678228906202,227.7318817098061,26.85378578096099,4.983348884196291,234.8550262451172,10268723.6,False,False,False,True,1,-0.14883150453767902
2020-02-04,202.98252868652344,209.5303497314453,201.3937225341797,207.65267944335935,37145337,223.83353439899508,226.9444620130827,36.884033647427025,5.315191848941199,234.8550262451172,14014004.05,False,False,False,True,1,-0.11582612148724836
2020-02-05,208.278564453125,209.4340667724609,203.6565704345703,208.42300415039065,22072147,222.36586485150895,226.2181303321928,37.79689692472939,5.34821359815187,234.8550262451172,15434226.2,False,False,False,True,1,-0.11254612054646662
2020-02-06,209.91552734375,211.74505615234372,203.9454498291016,205.63055419921875,28443398,220.772025741767,225.4107744054095,35.77683504509058,5.523313078515461,234.8550262451172,16172110.25,False,False,False,True,1,-0.12443622141344757
2020-02-07,205.87127685546875,207.7008209228516,204.86021423339844,205.48611450195312,17793265,219.31622467130853,224.62941519350926,35.6706397489927,5.331691193582439,234.8550262451172,17103445.0,False,False,False,True,1,-0.12505123783261873
2020-02-10,206.06385803222656,206.1120147705078,202.2603454589844,202.74180603027344,9987781,217.73770861025758,223.77107757926473,33.62824979114873,5.225975344863937,234.8550262451172,17475215.05,False,False,False,False,0,-0.13673635488357538
